cgpa,package
6.48,2.37
6.84,2.79
4.76,1.72
8.54,4.32
5.11,2.22
6.06,2.16
7.4,3.43
5.65,2.48
5.84,2.04
5.99,2.41
7.45,2.71
9.19,4.33
6.94,2.88
5.78,1.92
7.44,3.05
6.3,2.69
6.88,2.78
8.08,3.7
6.15,2.7
6.91,2.71
6.02,2.37
6.74,3.51
7.16,3.14
5.91,2.15
6.56,2.78
6.66,2.42
6.26,2.94
5.71,2.4
5.48,2.49
6.75,3.14
6.63,2.92
9.13,4.49
4.47,1.66
7.01,2.82
7.27,2.85
8.26,3.58
7.4,2.48
6.06,3.03
6.9,2.44
7.44,3.23
6.59,2.39
7.67,2.78
5.03,1.89
8.63,3.83
8.37,3.73
6.56,2.93
7.51,3.11
6.95,3.1
6.07,2.65
6.99,2.9
7.9,3.43
6.52,2.9
6.52,2.76
6.83,2.96
7.33,2.48
8.18,3.69
6.27,2.72
7.41,3.2
7.12,3.18
5.04,2.49
6.48,2.75
6.77,3.08
6.86,2.68
7.23,2.88
4.86,1.67
6.95,2.68
6.22,2.57
5.46,1.87
7.42,3.19
7.64,2.94
6.25,2.1
7.74,3.22
6.52,2.42
6.97,2.8
5.8,2.16
8.48,3.73
4.24,1.78
6.81,3.31
7.6,3.56
4.87,1.71
6.71,3.3
6.82,2.45
7.72,2.8
8.15,3.73
6.5,2.73
5.52,2.14
8.27,3.73
8.12,3.14
6.44,2.35
7.25,3.52
7.28,3.47
7.47,3.06
7.1,3.65
8.31,3.42
5.16,1.81
7.94,3.62
7.28,2.81
6.68,2.69
8.07,3.56
4.56,1.53
8.06,3.86
7.29,3.35
5.77,1.99
7.33,2.99
6.6,2.84
9.49,4.38
8.74,3.74
7.34,3.33
6.18,2.8
6.32,2.44
6.57,3.01
6.34,2.16
6.0,1.97
6.31,2.77
6.62,2.55
6.38,2.36
6.2,2.48
5.97,2.23
9.45,4.48
5.43,1.7
5.88,2.27
7.33,4.14
6.58,2.81
7.32,2.61
7.7,3.58
8.16,3.82
7.65,3.79
5.91,2.45
8.01,3.38
5.14,2.39
6.79,3.11
6.4,2.13
5.84,2.59
7.49,3.21
6.72,3.19
7.92,3.41
5.42,2.36
7.75,3.49
7.4,3.41
7.03,3.02
5.48,2.04
6.65,2.83
5.35,2.28
4.82,1.92
9.6,4.6
7.87,3.62
8.69,4.14
6.47,3.34
7.6,3.36
7.6,3.51
7.5,3.11
6.9,2.97
6.67,3.32
4.83,1.89
7.51,3.73
7.32,2.87
8.02,3.16
6.63,2.9
8.64,3.51
6.45,3.5
5.64,2.63
7.84,3.11
6.43,2.64
5.65,2.08
7.02,3.15
7.66,3.36
7.14,3.37
7.4,3.67
9.6,4.39
7.72,3.06
8.43,3.98
4.91,1.79
7.27,3.5
7.67,3.34
6.54,3.0
6.02,2.56
7.3,3.12
6.59,2.65
6.31,2.84
8.05,4.35
8.24,3.95
7.2,3.08
6.45,2.92
7.41,3.27
7.73,3.03
7.53,3.4
5.45,2.61
6.56,2.67
7.26,2.82
7.52,3.45
7.86,4.04
7.66,3.66
5.77,2.63
6.19,3.25
5.68,2.76
8.7,4.17
7.08,2.99
7.45,3.3
7.93,3.5
6.57,3.02
