hours_studied,prior_score,passed
4.36,65.1,1
0.26,65.4,0
5.5,45.3,1
4.35,30.3,1
4.2,59.2,1
3.3,69.4,0
2.05,91.4,1
6.19,77.4,1
3.0,89.0,1
2.67,94.8,1
6.21,95.9,1
5.29,87.1,1
1.35,39.2,0
5.14,54.3,0
1.84,44.6,0
7.85,90.7,1
8.54,85.5,1
4.94,54.4,1
8.47,69.8,1
0.8,86.4,1
5.05,88.3,1
0.65,44.4,0
4.28,81.1,1
0.97,86.2,1
1.27,33.0,0
5.97,37.5,1
2.26,60.5,1
1.07,45.5,0
2.2,91.6,1
3.5,80.4,1
4.68,79.9,1
2.02,83.9,1
6.4,53.2,1
4.83,46.0,1
5.05,73.8,1
3.87,59.0,1
7.94,95.6,1
5.8,75.0,1
1.62,57.1,0
7.01,89.9,1
9.65,56.7,1
5.0,42.5,1
8.9,84.7,1
3.42,63.1,0
5.67,48.2,1
4.28,78.5,1
4.37,98.6,1
7.77,47.2,1
5.36,85.3,1
9.54,83.4,1
5.44,38.4,1
0.82,88.7,0
3.66,62.3,1
8.51,38.8,1
4.06,67.5,1
0.27,50.8,0
2.47,42.3,0
0.67,35.5,0
9.94,43.9,1
9.71,60.1,1
8.0,74.9,1
6.02,36.1,1
7.65,80.1,1
1.69,37.1,0
2.93,42.3,0
5.24,79.9,1
3.57,92.0,1
0.46,98.8,1
9.83,75.7,1
4.41,63.4,1
5.04,36.1,0
3.24,69.1,1
2.6,42.7,1
3.87,66.0,1
8.32,72.6,1
7.37,88.3,1
3.79,52.7,1
0.13,99.2,1
7.97,99.6,1
2.69,87.8,1
5.83,78.6,1
0.26,81.4,1
6.62,91.3,1
3.88,96.6,1
4.97,89.7,1
4.15,74.9,1
3.51,35.1,1
5.51,73.6,1
9.73,54.7,1
1.13,41.5,0
3.13,92.5,1
0.42,87.7,0
7.38,66.9,1
6.58,62.4,1
2.15,64.3,1
4.17,48.3,0
6.44,58.2,1
6.61,60.6,1
1.7,31.1,0
8.82,92.5,1
7.78,32.0,1
1.34,56.1,0
8.69,36.7,1
7.49,43.8,1
7.99,96.0,1
5.43,56.0,1
2.21,81.0,1
9.18,38.8,1
5.92,47.6,1
3.46,91.7,1
2.64,93.2,1
9.14,50.1,1
4.2,97.7,1
5.4,76.8,1
6.08,65.2,1
8.26,56.5,1
6.24,53.6,1
1.77,96.6,1
5.91,78.5,1
4.89,67.4,1
5.48,33.0,1
7.0,47.3,1
2.46,96.0,1
1.87,69.0,1
1.11,55.0,0
2.74,30.7,0
0.1,47.7,0
6.29,47.8,0
2.95,41.9,0
1.87,54.1,0
0.95,44.2,0
2.84,34.4,0
2.15,36.9,1
2.86,64.8,0
4.71,34.9,0
5.49,95.5,1
8.45,44.4,1
9.89,62.5,1
0.49,59.0,0
2.32,50.4,0
6.43,52.6,1
1.61,44.8,0
8.7,49.6,1
2.17,38.2,0
7.42,78.2,1
6.53,75.1,1
7.99,51.8,1
0.31,91.6,0
2.3,57.0,0
7.05,72.8,1
0.88,66.6,0
0.31,52.8,0
3.57,95.1,1
5.9,89.4,1
0.52,88.9,0
0.66,96.8,1
0.44,30.2,0
3.95,64.4,1
6.68,95.7,1
1.98,39.4,0
8.76,47.1,1
4.32,65.4,1
6.2,77.5,1
2.9,53.3,0
6.15,51.4,1
9.54,84.3,1
4.48,32.3,0
2.07,85.0,1
4.25,60.0,1
4.45,74.0,1
5.08,79.4,1
5.26,36.9,1
0.42,93.3,0
1.64,87.6,0
4.5,56.3,1
7.08,43.6,1
7.78,34.4,1
7.77,51.6,1
5.03,79.9,1
9.57,86.9,1
3.32,52.9,1
4.81,45.4,1
7.48,52.9,1
8.58,97.5,1
4.14,36.7,1
8.49,41.4,1
4.45,78.6,1
7.16,39.8,1
0.08,48.7,0
0.25,86.2,1
9.4,51.0,1
1.02,71.8,0
6.62,70.1,1
2.83,48.6,0
2.01,47.4,1
3.88,50.3,1
9.26,91.3,1
5.7,31.3,1
9.17,36.4,1
7.02,53.9,1
